source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
m,0,ULEI_CLIN,Male sex,8507,Gender,1970-01-01,2099-12-31,
w,0,ULEI_CLIN,Female sex,8532,Gender,1970-01-01,2099-12-31,
ide,0,ULEI_CLIN,Idecabtagene vicleucel (ide-cel),36026868,RxNorm,1970-01-01,2099-12-31,
cilta,0,ULEI_CLIN,Ciltacabtagene autoleucel (cilta-cel),779144,RxNorm,1970-01-01,2099-12-31,
Multiple myeloma,0,ULEI_CLIN,Condition: Multiple myeloma,437233,SNOMED,1970-01-01,2099-12-31,
Leukapheresis,0,ULEI_CLIN,Procedure: Leukapheresis,4298124,SNOMED,1970-01-01,2099-12-31,
CAR-T infusion,0,ULEI_CLIN,Procedure: CAR-T cell immunotherapy,608175,SNOMED,1970-01-01,2099-12-31,
R_ISS_1,0,ULEI_STAGING,Revised ISS Stage I,1635024,Cancer Modifier,1970-01-01,2099-12-31,
R_ISS_2,0,ULEI_STAGING,Revised ISS Stage II,1633344,Cancer Modifier,1970-01-01,2099-12-31,
R_ISS_3,0,ULEI_STAGING,Revised ISS Stage III,1634199,Cancer Modifier,1970-01-01,2099-12-31,
R_ISS_measurement,0,ULEI_STAGING,Measurement concept for R-ISS,734346,NAACCR,1970-01-01,2099-12-31,
Durie_Salmon_measurement,0,ULEI_STAGING,Measurement concept for Durie-Salmon,734353,NAACCR,1970-01-01,2099-12-31,
CR,0,ULEI_RESPONSE,IMWG Complete Response,1633363,Cancer Modifier,1970-01-01,2099-12-31,
PR,0,ULEI_RESPONSE,IMWG Partial Response,1635152,Cancer Modifier,1970-01-01,2099-12-31,
SD,0,ULEI_RESPONSE,IMWG Stable Disease,1635506,Cancer Modifier,1970-01-01,2099-12-31,
PD,0,ULEI_RESPONSE,IMWG Progressive Disease,1633294,Cancer Modifier,1970-01-01,2099-12-31,
CRS,0,ULEI_CRS,Cytokine release syndrome,46271778,SNOMED,1970-01-01,2099-12-31,
ICANS,0,ULEI_CRS,Immune effector cell-associated neurotoxicity syndrome,37151422,SNOMED,1970-01-01,2099-12-31,
TOCI,0,ULEI_CRS,Tocilizumab,40171288,RxNorm,1970-01-01,2099-12-31,
CRP,0,ULEI_CRS,C-reactive protein [Mass/volume] in Serum or Plasma,3020460,LOINC,1970-01-01,2099-12-31,
mg/L,0,ULEI_UNIT,milligram per liter,8751,UCUM,1970-01-01,2099-12-31,
pg/mL,0,ULEI_UNIT,picogram per milliliter,8845,UCUM,1970-01-01,2099-12-31,
ng/mL,0,ULEI_UNIT,nanogram per milliliter,8842,UCUM,1970-01-01,2099-12-31,
cells/uL,0,ULEI_UNIT,cells per microliter,8784,UCUM,1970-01-01,2099-12-31,
%,0,ULEI_UNIT,percent,8554,UCUM,1970-01-01,2099-12-31,
PBMC_specimen,0,ULEI_OMICS,Peripheral blood specimen,4047495,SNOMED,1970-01-01,2099-12-31,
PBMC_site,0,ULEI_OMICS,Peripheral blood mononuclear cell (anatomic site),4229415,SNOMED,1970-01-01,2099-12-31,
CRF_type,0,ULEI_OMICS,Case Report Form (type concept),32809,Type Concept,1970-01-01,2099-12-31,
specimen_specimen_id_field,0,ULEI_OMICS,specimen.specimen_id (CDM 5.4 field concept),1147822,CDM,1970-01-01,2099-12-31,
scRNA_seq_dataset,0,ULEI_OMICS,Single-cell RNA-seq dataset reference,2000010001,CERTAINTY,1970-01-01,2099-12-31,
CAR_pos_fraction,0,ULEI_OMICS,CAR-positive T-cell fraction by single-cell RNA-seq,2000010003,CERTAINTY,1970-01-01,2099-12-31,
